키워드그룹,기간,검색관심도(상대값)
명절 선물,2026-03-30,0.16828
명절 선물,2026-04-06,0.20734
명절 선물,2026-04-13,0.19183
명절 선물,2026-04-20,0.25846
명절 선물,2026-04-27,0.2642
명절 선물,2026-05-04,0.24467
명절 선물,2026-05-11,0.21308
명절 선물,2026-05-18,0.21251
명절 선물,2026-05-25,0.21251
명절 선물,2026-06-01,0.2016
명절 선물,2026-06-08,0.1522
명절 선물,2026-06-15,0.13382
명절 선물,2026-06-22,0.13899
명절 선물,2026-06-29,0.20447
명절 선물,2026-07-06,0.2665
명절 선물,2026-07-13,0.3383
명절 선물,2026-07-20,0.50314
명절 선물,2026-07-27,0.70934
명절 선물,2026-08-03,1.5795
명절 선물,2026-08-10,3.55992
명절 선물,2026-08-17,6.57189
명절 선물,2026-08-24,8.22204
직장인 선물,2025-09-01,0.20217
직장인 선물,2025-09-08,0.23032
직장인 선물,2025-09-15,0.2688
직장인 선물,2025-09-22,0.29235
직장인 선물,2025-09-29,0.19241
직장인 선물,2025-10-06,0.06375
직장인 선물,2025-10-13,0.15507
직장인 선물,2025-10-20,0.14588
직장인 선물,2025-10-27,0.14588
직장인 선물,2025-11-03,0.14933
직장인 선물,2025-11-10,0.15622
직장인 선물,2025-11-17,0.1723
직장인 선물,2025-11-24,0.20619
직장인 선물,2025-12-01,0.27224
직장인 선물,2025-12-08,0.29809
직장인 선물,2025-12-15,0.34347
직장인 선물,2025-12-22,0.29637
직장인 선물,2025-12-29,0.22515
직장인 선물,2026-01-05,0.21481
직장인 선물,2026-01-12,0.21308
직장인 선물,2026-01-19,0.22055
직장인 선물,2026-01-26,0.23663
직장인 선물,2026-02-02,0.25961
직장인 선물,2026-02-09,0.26765
직장인 선물,2026-02-16,0.09534
직장인 선물,2026-02-23,0.16254
직장인 선물,2026-03-02,0.09993
직장인 선물,2026-03-09,0.11659
직장인 선물,2026-03-16,0.09879
직장인 선물,2026-03-23,0.10281
직장인 선물,2026-03-30,0.11544
직장인 선물,2026-04-06,0.10912
직장인 선물,2026-04-13,0.09362
직장인 선물,2026-04-20,0.085
직장인 선물,2026-04-27,0.08213
직장인 선물,2026-05-04,0.0649
직장인 선물,2026-05-11,0.09534
직장인 선물,2026-05-18,0.07122
직장인 선물,2026-05-25,0.07064
직장인 선물,2026-06-01,0.05054
직장인 선물,2026-06-08,0.08328
직장인 선물,2026-06-15,0.07753
직장인 선물,2026-06-22,0.1298
직장인 선물,2026-06-29,0.10625
직장인 선물,2026-07-06,0.08615
직장인 선물,2026-07-13,0.08443
직장인 선물,2026-07-20,0.09764
직장인 선물,2026-07-27,0.05628
직장인 선물,2026-08-03,0.07926
직장인 선물,2026-08-10,0.07179
직장인 선물,2026-08-17,0.30728
직장인 선물,2026-08-24,0.08328
선물 추천,2025-09-01,1.36354
선물 추천,2025-09-08,1.51632
선물 추천,2025-09-15,1.67427
선물 추천,2025-09-22,1.77249
선물 추천,2025-09-29,1.47669
선물 추천,2025-10-06,0.83455
선물 추천,2025-10-13,1.12288
선물 추천,2025-10-20,1.10163
선물 추천,2025-10-27,1.20214
선물 추천,2025-11-03,1.28657
선물 추천,2025-11-10,1.22339
선물 추천,2025-11-17,1.3107
선물 추천,2025-11-24,1.55193
선물 추천,2025-12-01,1.88966
선물 추천,2025-12-08,2.38534
선물 추천,2025-12-15,2.80635
선물 추천,2025-12-22,2.89193
선물 추천,2025-12-29,2.00051
선물 추천,2026-01-05,1.83969
선물 추천,2026-01-12,1.71678
선물 추천,2026-01-19,1.69552
선물 추천,2026-01-26,1.79144
선물 추천,2026-02-02,1.63234
선물 추천,2026-02-09,1.31644
선물 추천,2026-02-16,0.88624
선물 추천,2026-02-23,0.88911
선물 추천,2026-03-02,0.69498
선물 추천,2026-03-09,0.61227
선물 추천,2026-03-16,0.59446
선물 추천,2026-03-23,0.58183
선물 추천,2026-03-30,0.5646
선물 추천,2026-04-06,0.67028
선물 추천,2026-04-13,0.65247
선물 추천,2026-04-20,0.64673
선물 추천,2026-04-27,0.66798
선물 추천,2026-05-04,0.62433
선물 추천,2026-05-11,0.57149
선물 추천,2026-05-18,0.4951
선물 추천,2026-05-25,0.5152
선물 추천,2026-06-01,0.51635
선물 추천,2026-06-08,0.5577
선물 추천,2026-06-15,0.51118
선물 추천,2026-06-22,0.54277
선물 추천,2026-06-29,0.53473
선물 추천,2026-07-06,0.50486
선물 추천,2026-07-13,0.51233
선물 추천,2026-07-20,0.48878
선물 추천,2026-07-27,0.51003
선물 추천,2026-08-03,0.54047
선물 추천,2026-08-10,0.57781
선물 추천,2026-08-17,0.57551
선물 추천,2026-08-24,0.3831
