테마,건수,비중(%)
가성비·가격부담,29,12.88888888888889
프리미엄·고가,40,17.77777777777778
선물용,51,22.666666666666664
액상·편의성,52,23.11111111111111
신뢰·브랜드,68,30.22222222222222
효과·건강기능,190,84.44444444444444
