키워드그룹,기간,검색관심도(상대값)
부담없는 선물,2026-07-27,0.11292
부담없는 선물,2026-08-10,0.04234
부담없는 선물,2026-08-24,0.03528
고급 선물,2025-09-08,1.65855
고급 선물,2025-09-15,1.96908
고급 선물,2025-09-22,1.92674
고급 선물,2025-09-29,1.36212
고급 선물,2025-10-06,0.53638
고급 선물,2025-10-13,1.00924
고급 선물,2025-10-20,1.03041
고급 선물,2025-10-27,1.60914
고급 선물,2025-11-03,1.96908
고급 선물,2025-11-10,1.87733
고급 선물,2025-11-17,1.82087
고급 선물,2025-11-24,2.35725
고급 선물,2025-12-01,2.36431
고급 선물,2025-12-08,2.83012
고급 선물,2025-12-15,2.62544
고급 선물,2025-12-22,2.62544
고급 선물,2025-12-29,1.94791
고급 선물,2026-01-05,2.12435
고급 선물,2026-01-12,2.43489
고급 선물,2026-01-19,2.08906
고급 선물,2026-01-26,2.32902
고급 선물,2026-02-02,3.95229
고급 선물,2026-02-09,3.33827
고급 선물,2026-02-16,1.30566
고급 선물,2026-02-23,1.44682
고급 선물,2026-03-02,1.31272
고급 선물,2026-03-09,1.46093
고급 선물,2026-03-16,1.30566
고급 선물,2026-03-23,1.25626
고급 선물,2026-03-30,1.13628
고급 선물,2026-04-06,1.23509
고급 선물,2026-04-13,1.10099
고급 선물,2026-04-20,1.12216
고급 선물,2026-04-27,1.21391
고급 선물,2026-05-04,1.43976
고급 선물,2026-05-11,1.54562
고급 선물,2026-05-18,1.12216
고급 선물,2026-05-25,1.12922
고급 선물,2026-06-01,1.35507
고급 선물,2026-06-08,1.36918
고급 선물,2026-06-15,1.64443
고급 선물,2026-06-22,1.34801
고급 선물,2026-06-29,1.46093
고급 선물,2026-07-06,1.10805
고급 선물,2026-07-13,0.98101
고급 선물,2026-07-20,1.08687
고급 선물,2026-07-27,0.88926
고급 선물,2026-08-03,0.93161
고급 선물,2026-08-10,1.31272
고급 선물,2026-08-17,1.20686
고급 선물,2026-08-24,1.42564
고급 선물,2026-08-31,1.2492
건강 선물,2025-09-08,33.42776
건강 선물,2025-09-15,43.05949
건강 선물,2025-09-22,50.9915
건강 선물,2025-09-29,27.47875
건강 선물,2025-10-06,9.91501
건강 선물,2025-10-13,14.73087
건강 선물,2025-10-20,17.28045
건강 선물,2025-10-27,28.61189
건강 선물,2025-11-03,31.72804
건강 선물,2025-11-10,29.74504
건강 선물,2025-11-17,33.42776
건강 선물,2025-11-24,33.71104
건강 선물,2025-12-01,36.26062
건강 선물,2025-12-08,44.19263
건강 선물,2025-12-15,47.30878
건강 선물,2025-12-22,53.54107
건강 선물,2025-12-29,31.72804
건강 선물,2026-01-05,34.84419
건강 선물,2026-01-12,47.02549
건강 선물,2026-01-19,41.35977
건강 선물,2026-01-26,48.44192
건강 선물,2026-02-02,67.42209
건강 선물,2026-02-09,61.47308
건강 선물,2026-02-16,27.19546
건강 선물,2026-02-23,26.3456
건강 선물,2026-03-02,23.22946
건강 선물,2026-03-09,25.49575
건강 선물,2026-03-16,24.92917
건강 선물,2026-03-23,28.89518
건강 선물,2026-03-30,26.06232
건강 선물,2026-04-06,26.06232
건강 선물,2026-04-13,28.61189
건강 선물,2026-04-20,29.17847
건강 선물,2026-04-27,30.31161
건강 선물,2026-05-04,33.71104
건강 선물,2026-05-11,26.91218
건강 선물,2026-05-18,21.24645
건강 선물,2026-05-25,22.3796
건강 선물,2026-06-01,22.09631
건강 선물,2026-06-08,21.52974
건강 선물,2026-06-15,20.3966
건강 선물,2026-06-22,23.51274
건강 선물,2026-06-29,16.71388
건강 선물,2026-07-06,14.44759
건강 선물,2026-07-13,13.03116
건강 선물,2026-07-20,26.62889
건강 선물,2026-07-27,20.11331
건강 선물,2026-08-03,23.51274
건강 선물,2026-08-10,27.19546
건강 선물,2026-08-17,19.83002
건강 선물,2026-08-24,26.06232
건강 선물,2026-08-31,26.62889
효도 선물,2025-09-08,28.89518
효도 선물,2025-09-15,33.42776
효도 선물,2025-09-22,37.39376
효도 선물,2025-09-29,32.5779
효도 선물,2025-10-06,11.89801
효도 선물,2025-10-13,17.84702
효도 선물,2025-10-20,9.91501
효도 선물,2025-10-27,16.99716
효도 선물,2025-11-03,16.71388
효도 선물,2025-11-10,14.44759
효도 선물,2025-11-17,18.98016
효도 선물,2025-11-24,13.88101
효도 선물,2025-12-01,17.28045
효도 선물,2025-12-08,27.76203
효도 선물,2025-12-15,23.51274
효도 선물,2025-12-22,28.89518
효도 선물,2025-12-29,16.99716
효도 선물,2026-01-05,18.13031
효도 선물,2026-01-12,26.3456
효도 선물,2026-01-19,24.64589
효도 선물,2026-01-26,26.91218
효도 선물,2026-02-02,36.5439
효도 선물,2026-02-09,39.94334
효도 선물,2026-02-16,15.29745
효도 선물,2026-02-23,14.1643
효도 선물,2026-03-02,1.69971
효도 선물,2026-03-09,2.54957
효도 선물,2026-03-16,14.1643
효도 선물,2026-03-23,12.1813
효도 선물,2026-03-30,15.58073
효도 선물,2026-04-06,20.3966
효도 선물,2026-04-13,21.52974
효도 선물,2026-04-20,39.37677
효도 선물,2026-04-27,59.20679
효도 선물,2026-05-04,62.60623
효도 선물,2026-05-11,15.86402
효도 선물,2026-05-18,15.29745
효도 선물,2026-05-25,11.04815
효도 선물,2026-06-01,3.11614
